"","trait","env","gen","predicted.value"
"143","PH","E05","G47",85.6603180346876
"144","PH","E05","G48",95.4074763914164
"145","PH","E05","G54",108.927728305589
"146","PH","E05","G55",110.18542615807
"147","PH","E05","G57",109.242152768709
"148","PH","E05","G59",97.6084476332584
"149","PH","E05","G60",102.324814580063
"150","PH","E05","G64",81.8872244772442
"151","PH","E06","G02",53.282330596442
"152","PH","E06","G05",72.268172800299
"153","PH","E06","G09",58.4310335669795
"154","PH","E06","G11",32.687518714292
"155","PH","E06","G14",54.8913002747349
"156","PH","E06","G17",37.1926338135123
"157","PH","E06","G21",91.2540150041561
"158","PH","E06","G22",69.3720273793717
"159","PH","E06","G23",102.516802752207
"160","PH","E06","G24",107.987299658403
"161","PH","E06","G26",64.5451183444928
"162","PH","E06","G28",74.5207303499092
"163","PH","E06","G29",30.4349611646818
"164","PH","E06","G30",46.5246579476115
"165","PH","E06","G39",53.6041245321006
"166","PH","E06","G40",58.4310335669795
"167","PH","E06","G41",57.1438578243451
"168","PH","E06","G42",58.7528275026381
"169","PH","E06","G43",67.1194698297615
"170","PH","E06","G44",61.6489729235654
"171","PH","E06","G45",59.7182093096139
"172","PH","E06","G46",61.0053850522482
"173","PH","E06","G47",42.0195428483912
"174","PH","E06","G48",66.4758819584443
"175","PH","E06","G54",51.673360918149
"176","PH","E06","G55",56.5002699530279
"177","PH","E06","G57",72.5899667359576
"178","PH","E06","G59",66.7976758941029
"179","PH","E06","G60",65.18870621581
"180","PH","E06","G64",40.0887792344396
"181","PH","E07","G02",47.3799303356935
"182","PH","E07","G05",71.961669328955
"183","PH","E07","G09",52.0305296046889
"184","PH","E07","G11",32.7637612045651
"185","PH","E07","G14",35.753432163205
"186","PH","E07","G17",39.4074744459871
"187","PH","E07","G21",91.9062604659233
"188","PH","E07","G22",89.8996950807944
"189","PH","E07","G23",115.145805398198
"190","PH","E07","G24",96.5434083222165
"191","PH","E07","G26",67.6432557220307
"192","PH","E07","G28",72.2938549910261
"193","PH","E07","G29",35.4212465011339
"194","PH","E07","G30",47.3799303356935
"195","PH","E07","G39",50.0374156322623
"196","PH","E07","G40",52.36271526676
"197","PH","E07","G41",62.3282851288931
"198","PH","E07","G42",62.3282851288931
"199","PH","E07","G43",64.9857704254619
"200","PH","E07","G44",67.6432557220307
"201","PH","E07","G45",54.0236435771155
"202","PH","E07","G46",58.674242846111
"203","PH","E07","G47",37.7465461356316
"204","PH","E07","G48",60.3351711564665
"205","PH","E07","G54",53.0270865909022
"206","PH","E07","G55",61.996099466822
"207","PH","E07","G57",71.2972980048128
"208","PH","E07","G59",60.3351711564665
"209","PH","E07","G60",67.3110700599596
"210","PH","E07","G64",46.0511876874091
"211","PH","E08","G02",34.1120703866176
"212","PH","E08","G03",34.1120703866176
"213","PH","E08","G04",34.1718964464159
"214","PH","E08","G06",34.0522443268194
"215","PH","E08","G07",33.9924182670212
"216","PH","E08","G11",33.8727661474247
"217","PH","E08","G12",34.1718964464159
"218","PH","E08","G14",34.0522443268194
"219","PH","E08","G16",34.1718964464159
"220","PH","E08","G18",34.0522443268194
"221","PH","E08","G19",36.026504300161
"222","PH","E08","G20",34.2317225062141
"223","PH","E08","G26",33.9924182670212
"224","PH","E08","G30",34.1718964464159
"225","PH","E08","G31",33.8727661474247
"226","PH","E08","G32",33.9924182670212
"227","PH","E08","G33",33.9924182670212
"228","PH","E08","G34",33.8129400876265
"229","PH","E08","G38",34.1120703866176
"230","PH","E08","G40",34.5308528052052
"231","PH","E08","G41",35.787200060968
"232","PH","E08","G43",34.1120703866176
"233","PH","E08","G44",36.0863303599592
"234","PH","E08","G45",36.2658085393539
"235","PH","E08","G47",34.2915485660123
"236","PH","E08","G49",34.2915485660123
"237","PH","E08","G50",35.3684176423804
"238","PH","E08","G51",37.6418079147131
"239","PH","E08","G52",33.9924182670212
"240","PH","E08","G53",35.7273740011698
"241","PH","E08","G54",34.2317225062141
"242","PH","E08","G56",35.9068521805645
"243","PH","E08","G58",33.9924182670212
"244","PH","E08","G61",34.523238985511
"245","PH","E08","G63",35.6077218815734
"246","PH","E08","G65",35.9666782403627
"247","PH","E09","G02",33.4925591476581
"248","PH","E09","G03",45.670402169642
"249","PH","E09","G04",28.8847266528533
"250","PH","E09","G06",51.9238891268771
"251","PH","E09","G07",37.1129989650047
"252","PH","E09","G11",35.1382136100883
"253","PH","E09","G12",45.0121403846699
"254","PH","E09","G14",30.5303811152836
"255","PH","E09","G16",64.7599939338331
"256","PH","E09","G18",45.9995330621281
"257","PH","E09","G19",44.0247477072118
"258","PH","E09","G20",45.0121403846699
"259","PH","E09","G26",59.4938996540563
"260","PH","E09","G30",44.0247477072118
"261","PH","E09","G31",29.2138575453394
"262","PH","E09","G32",40.0751769973791
"263","PH","E09","G33",30.5303811152836
"264","PH","E09","G34",33.8216900401441
"265","PH","E09","G38",44.3538785996978
"266","PH","E09","G40",46.6577948471002
"267","PH","E09","G41",60.4812923315144
"268","PH","E09","G43",44.0247477072118
"269","PH","E09","G44",71.3426117835542
"270","PH","E09","G45",60.1521614390284
"271","PH","E09","G47",35.1382136100883
"272","PH","E09","G49",43.6956168147257
"273","PH","E09","G50",57.1899834066539
"274","PH","E09","G51",50.2782346644468
"275","PH","E09","G52",47.9743184170444
"276","PH","E09","G53",53.8986744817934
"277","PH","E09","G54",46.9869257395863
"278","PH","E09","G56",48.6325802020165
"279","PH","E09","G58",30.5303811152836
"280","PH","E09","G61",53.8986744817934
"281","PH","E09","G63",45.670402169642
"282","PH","E09","G65",69.0386955361518
"283","PH","E10","G02",44.7212232979868
"284","PH","E10","G03",50.2418871984017
"285","PH","E10","G04",53.0022191486092
"286","PH","E10","G06",49.9351836483787
"287","PH","E10","G07",42.2675948978023
"288","PH","E10","G11",44.4145197479637
"289","PH","E10","G12",49.6284800983556
"290","PH","E10","G14",51.468701398494
"291","PH","E10","G16",33.9865990471798
"292","PH","E10","G18",55.4558475487937
"293","PH","E10","G19",52.6955155985862
"294","PH","E10","G20",57.296068848932
"295","PH","E10","G26",69.2575072998311
"296","PH","E10","G30",64.0435469494392
"297","PH","E10","G31",36.4402274473643
"298","PH","E10","G32",34.906709697249
"299","PH","E10","G33",29.079342246811
"300","PH","E10","G34",37.6670416474565
"301","PH","E10","G38",46.8681481481481
"302","PH","E10","G40",43.1877055478715
"303","PH","E10","G41",60.9765114492087
"304","PH","E10","G43",56.6826617488859
"305","PH","E10","G44",59.1362901490703
"306","PH","E10","G45",57.6027723989551
"307","PH","E10","G47",46.8681481481481
"308","PH","E10","G49",56.3759581988628
"309","PH","E10","G50",57.9094759489781
"310","PH","E10","G51",61.5899185492548
"311","PH","E10","G52",69.8709143998773
"312","PH","E10","G53",61.2832149992317
"313","PH","E10","G54",57.6027723989551
"314","PH","E10","G56",66.1904717996006
"315","PH","E10","G58",62.816732749347
"316","PH","E10","G61",59.4429936990934
"317","PH","E10","G63",61.8966220992778
"318","PH","E10","G65",66.1904717996006
"319","PH","E11","G02",54.3541662422428
"320","PH","E11","G03",54.3541662422428
"321","PH","E11","G04",51.3454815054967
"322","PH","E11","G06",57.1622719965392
"323","PH","E11","G07",56.3599560667403
"324","PH","E11","G11",48.5373757512004
"325","PH","E11","G12",57.6637194526636
"326","PH","E11","G14",56.2596665755154
"327","PH","E11","G16",60.1709567332853
"328","PH","E11","G18",57.362850978989
"329","PH","E11","G19",53.0504028563195
"330","PH","E11","G20",51.8469289616211
"331","PH","E11","G26",54.5547452246926
"332","PH","E11","G30",51.5460604879465
"333","PH","E11","G31",57.5634299614387
"334","PH","E11","G32",56.56053504919
"335","PH","E11","G33",66.3889051892273
"336","PH","E11","G34",60.8729831718594
"337","PH","E11","G38",56.1593770842905
"338","PH","E11","G40",57.7640089438884
"339","PH","E11","G41",56.3599560667403
"340","PH","E11","G43",59.8700882596107
"341","PH","E11","G44",60.5721146981848
"342","PH","E11","G45",63.7813784173807
"343","PH","E11","G47",52.8498238738698
"344","PH","E11","G49",53.3512713299941
"345","PH","E11","G50",55.1564821720418
"346","PH","E11","G51",60.1709567332853
"347","PH","E11","G52",57.5634299614387
"348","PH","E11","G53",57.5253352930577
"349","PH","E11","G54",54.8556136983672
"350","PH","E11","G56",53.7524292948936
"351","PH","E11","G58",54.8556136983672
"352","PH","E11","G61",53.0504028563195
"353","PH","E11","G63",54.7553242071423
"354","PH","E11","G65",55.8585086106159
"355","PH","E12","G02",45.6066761107864
"356","PH","E12","G03",71.7958240873348
"357","PH","E12","G04",30.733826642623
"358","PH","E12","G06",53.3664236593933
"359","PH","E12","G07",33.9670547878759
"360","PH","E12","G11",42.3734479655335
"361","PH","E12","G12",61.1261712080003
"362","PH","E12","G14",46.8999673688875
"363","PH","E12","G16",32.3504407152495
"364","PH","E12","G18",46.8999673688875
"365","PH","E12","G19",48.516581441514
"366","PH","E12","G20",51.7498095867669
"367","PH","E12","G26",58.2162658772726
"368","PH","E12","G30",40.4335110783817
"369","PH","E12","G31",45.9299989253116
"370","PH","E12","G32",32.3504407152495
"371","PH","E12","G33",39.1402198202806
"372","PH","E12","G34",29.1172125699966
"373","PH","E12","G38",74.3824066035371
"374","PH","E12","G40",59.1862343208485
"375","PH","E12","G41",71.7958240873348
"376","PH","E12","G43",46.8999673688875
"377","PH","E12","G44",77.61563474879
"378","PH","E12","G45",95.7217123622063
"379","PH","E12","G47",40.4335110783817
"380","PH","E12","G49",58.5395886917979
"381","PH","E12","G50",43.6667392236346
"382","PH","E12","G51",64.6827221677785
"383","PH","E12","G52",59.5095571353738
"384","PH","E12","G53",65.6526906113543
"385","PH","E12","G54",62.7427852806267
"386","PH","E12","G56",58.2162658772726
"387","PH","E12","G58",45.6066761107864
"388","PH","E12","G62",69.5325643856578
"389","PH","E12","G63",85.375382297397
"390","PH","E12","G65",69.5325643856578
"391","PH","E13","G02",78.021611191267
"392","PH","E13","G03",95.3076130205265
"393","PH","E13","G04",69.6872888807311
"394","PH","E13","G06",97.4683632491839
"395","PH","E13","G07",61.3529665701953
"396","PH","E13","G11",72.7740749216703
"397","PH","E13","G12",77.0955753789852
"398","PH","E13","G14",83.5778260649575
"399","PH","E13","G16",120.927937160322
"400","PH","E13","G18",65.0571098193223
"401","PH","E13","G19",64.7484312152284
"402","PH","E13","G20",66.9091814438859
"403","PH","E13","G26",102.098542310593
"404","PH","E13","G30",86.6646121058967
"405","PH","E13","G31",72.1567177134825
"406","PH","E13","G32",77.7129325871731
"407","PH","E13","G33",61.3529665701953
"408","PH","E13","G34",74.3174679421399
"409","PH","E13","G38",102.098542310593
"410","PH","E13","G40",94.9989344164325
"411","PH","E13","G41",113.210972057974
"412","PH","E13","G43",91.6034697713994
"413","PH","E13","G44",111.35890043341
"414","PH","E13","G45",114.754365078443
"415","PH","E13","G47",87.8993265222724
"416","PH","E13","G49",66.291824235698
"417","PH","E13","G50",63.8223954029467
"418","PH","E13","G51",104.876649747438
"419","PH","E13","G52",92.5295055836812
"420","PH","E13","G53",88.5166837304602
