env;gen;rep;NDM;PH;GY
E14;G08;3;100;56;1612
E01;G09;1;105;70;4000
E01;G09;2;105;60;3000
E01;G09;3;105;56;2400
E02;G09;1;166;68;1361
E02;G09;2;166;57;741
E02;G09;3;165;56;1592
E03;G09;1;119;45;1674
E03;G09;2;119;58;2748
E03;G09;3;119;40;1236
E04;G09;1;99;69;3800
E04;G09;2;99;60;3600
E04;G09;3;99;56;3800
E05;G09;1;173;79;315
E05;G09;2;176;75;283
E05;G09;3;172;77;578
E06;G09;1;102;58;1282
E06;G09;2;102;60;2380
E06;G09;3;102;57;1976
E07;G09;1;105;53;2794
E07;G09;2;105;50;1554
E07;G09;3;105;53;2176
E18;G10;1;96;92;2400
E18;G10;2;92;78;1620
E18;G10;3;92;44;1400
E19;G10;1;87;25;2300
E19;G10;2;83;79;1960
E19;G10;3;87;49;1560
E01;G11;1;110;41;2200
E01;G11;2;110;32;1200
E01;G11;3;110;25;1600
E02;G11;1;180;67;3461
E02;G11;2;179;69;2934
E02;G11;3;177;62;2878
E03;G11;1;128;35;882
E03;G11;2;128;40;3864
E03;G11;3;128;31;834
E04;G11;1;97;42;1750
E04;G11;2;97;36;1200
E04;G11;3;97;25;1600
E05;G11;1;189;69;3176
E05;G11;2;183;76;2633
E05;G11;3;182;79;1577
E06;G11;1;99;30;1232
E06;G11;2;102;33;2818
E06;G11;3;102;32;1706
E07;G11;1;110;32;2930
E07;G11;2;110;36;2466
E07;G11;3;110;30;2224
E08;G11;1;111;30;1110
E08;G11;2;110;30;1586
E08;G11;3;111;31;1018
E09;G11;1;101;35;3316
E09;G11;2;102;35;3420
E09;G11;3;101;35;3266
E10;G11;1;112;46;1750
E10;G11;2;112;39;1380
E10;G11;3;112;46;1060
E11;G11;1;103;32;2340
E11;G11;2;103;30;1900
E11;G11;3;103;30;344
E12;G11;1;98;45;800
E12;G11;2;95;42;460
E12;G11;3;95;39;600
E13;G11;1;175;69;2963
E13;G11;2;172;74;3104
E13;G11;3;171;72;2286
E14;G11;1;94;41;1836
E14;G11;2;93;38;2119
E14;G11;3;93;37;1529
E18;G11;1;96;35;1840
E18;G11;2;96;42;2100
E18;G11;3;96;93;1620
E19;G11;1;87;27;1460
E19;G11;2;87;41;1740
E19;G11;3;90;94;1940
E08;G12;1;127;32;1426
E08;G12;2;111;32;1136
E08;G12;3;111;32;1420
E09;G12;1;102;48;3838
E09;G12;2;101;44;3680
E09;G12;3;102;43;3764
E10;G12;1;104;43;1620
E10;G12;2;104;50;1450
E10;G12;3;104;55;1360
E11;G12;1;103;63;1882
E11;G12;2;103;60;1218
E11;G12;3;103;60;472
E12;G12;1;93;60;750
E12;G12;2;97;61;382
E12;G12;3;95;63;1100
E13;G12;1;175;78;1865
E13;G12;2;175;77;2142
E13;G12;3;172;74;2919
E15;G12;1;88;51;4000
E15;G12;2;80;51;2000
E15;G12;3;NA;50;NA
E16;G12;1;91;48;1900
E16;G12;2;99;52;1420
E16;G12;3;92;48;1600
E17;G12;1;108;61;2876
E17;G12;2;107;58;NA
E17;G12;3;108;60;3350
E18;G12;1;111;46;3200
E18;G12;2;111;51;2400
E18;G12;3;111;94;2200
E19;G12;1;90;43;1384
E19;G12;2;103;22;1340
E19;G12;3;90;27;1600
E15;G13;1;110;47;1800
E15;G13;2;108;41;2200
E15;G13;3;111;45;2400
E16;G13;1;98;42;1780
E16;G13;2;99;38;1820
E16;G13;3;92;36;1500
E17;G13;1;115;52;2478
E17;G13;2;112;51;2992
E17;G13;3;117;51;2836
E18;G13;1;111;42;2800
E18;G13;2;105;30;2000
E18;G13;3;105;30;3100
E19;G13;1;87;42;1360
E19;G13;2;97;30;1400
E19;G13;3;123;28;1400
E01;G14;1;112;63;2800
E01;G14;2;112;49;2400
E01;G14;3;112;43;3000
E02;G14;1;NA;106;3195
E02;G14;2;184;102;2480
E02;G14;3;176;83;1945
E03;G14;1;128;41;680
E03;G14;2;132;47;2577
E03;G14;3;130;46;1290
E04;G14;1;97;64;2790
E04;G14;2;97;52;2400
E04;G14;3;97;50;2800
E05;G14;1;NA;104;1054
E05;G14;2;183;95;1356
E05;G14;3;184;99;1361
E06;G14;1;102;73;1548
E06;G14;2;102;46;1418
E06;G14;3;102;45;876
E07;G14;1;97;35;1410
E07;G14;2;97;39;1410
E07;G14;3;97;33;1794
E08;G14;1;110;32;1872
E08;G14;2;110;32;1978
E08;G14;3;111;30;1098
E09;G14;1;97;32;780
E09;G14;2;97;28;624
E09;G14;3;97;31;662
E10;G14;1;118;50;1400
E10;G14;2;118;50;1140
E10;G14;3;118;54;960
E11;G14;1;103;42;1730
E11;G14;2;103;62;1070
E11;G14;3;103;65;818
E12;G14;1;98;40;700
E12;G14;2;98;50;900
E12;G14;3;98;50;750
E13;G14;1;173;81;1672
E13;G14;2;168;75;2180
E13;G14;3;183;94;1956
E14;G14;1;97;46;1834
E14;G14;2;108;42;1058
E14;G14;3;108;45;1374
E17;G14;1;104;28;2072
E17;G14;2;104;29;2396
E17;G14;3;104;29;2384
E16;G15;1;99;45;1800
E16;G15;2;98;40;1600
E16;G15;3;98;40;1480
E17;G15;1;111;47;2752
E17;G15;2;111;45;2490
E17;G15;3;110;47;2772
E18;G15;1;111;39;2800
E18;G15;2;111;28;2740
E18;G15;3;111;28;2900
E19;G15;1;NA;NA;960
E19;G15;2;105;51;1360
E19;G15;3;105;37;1360
E08;G16;1;127;32;1602
E08;G16;2;110;31;1248
E08;G16;3;111;33;564
E09;G16;1;113;63;2394
E09;G16;2;115;64;2438
E09;G16;3;115;68;2416
E10;G16;1;104;32;1000
E10;G16;2;104;33;1030
E10;G16;3;104;32;1000
E11;G16;1;103;60;1170
E11;G16;2;103;60;814
E11;G16;3;103;88;574
E12;G16;1;93;40;600
E12;G16;2;92;30;404
E12;G16;3;89;25;196
E13;G16;1;173;112;1786
E13;G16;2;173;127;2477
E13;G16;3;173;132;1778
E15;G16;1;102;32;1900
E15;G16;2;NA;29;1720
E15;G16;3;NA;34;1520
E05;G17;1;198;103;1029
E05;G17;2;NA;72;404
E05;G17;3;193;75;291
E06;G17;1;111;37;424
E06;G17;2;111;37;1028
E06;G17;3;108;35;822
E07;G17;1;112;41;2374
E07;G17;2;112;40;1850
E07;G17;3;112;37;892
E15;G17;1;81;39;2000
E15;G17;2;87;34;2200
E15;G17;3;88;44;2400
E08;G18;1;119;31;1776
E08;G18;2;127;30;1358
E08;G18;3;127;33;1754
E09;G18;1;117;47;2578
E09;G18;2;111;48;2536
E09;G18;3;117;43;2700
E10;G18;1;133;49;710
E10;G18;2;133;54;920
E10;G18;3;133;64;1500
E11;G18;1;109;60;1262
E11;G18;2;109;60;1220
E11;G18;3;109;60;1496
E12;G18;1;98;40;1000
E12;G18;2;91;60;550
E12;G18;3;98;40;350
E13;G18;1;175;75;2217
E13;G18;2;171;64;2807
E13;G18;3;171;51;2963
E14;G18;1;113;68;1803
E14;G18;2;113;65;1432
E14;G18;3;113;64;1630
E15;G18;1;NA;NA;NA
E15;G18;2;NA;NA;NA
E15;G18;3;NA;NA;NA
E08;G19;1;110;62;1014
E08;G19;2;127;31;2074
E08;G19;3;127;34;1082
E09;G19;1;119;47;3266
E09;G19;2;118;43;2966
E09;G19;3;117;42;3058
E10;G19;1;125;52;1000
E10;G19;2;125;46;970
E10;G19;3;125;60;1800
E11;G19;1;109;30;1896
E11;G19;2;109;62;1582
E11;G19;3;109;45;1400
E12;G19;1;97;50;494
E12;G19;2;98;50;700
E12;G19;3;98;45;500
E13;G19;1;172;61;1855
E13;G19;2;175;60;1757
E13;G19;3;177;68;1675
E14;G19;1;112;56;1666
E14;G19;2;111;55;1538
E14;G19;3;111;57;1935
E15;G19;1;NA;37;2000
E15;G19;2;88;32;600
E15;G19;3;87;37;1700
